token_mint,token_symbol,token_name,token_supply_used,wallet,tier,api_status,strict_direct_swap_pass,strict_clean_pass,transfer_contamination_signal,cluster_trace_priority,minimum_actual_buy_market_cap_usd,max_realized_lot_multiple,passing_allocations_realized_profit_usd,history_transfer_out_income_usd,transfer_in
9GvG3vfbewcP1xnwTYS8sKe6V12JBg8SG2waVExxpump,POPE,Catholics Principles Index,999995059,9sRmV7uv6Qq26WbGRRwrD5jMx7Fey2g7PMiyHYsR9xQe,B,ok,False,False,True,HIGH,5658756.918179493,,0.0,621940.2168004352,False
9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump,wcd,what the cz doing?,996041783,2AqFJzcgSMQ9v7Vwh4yE7Vux8brcrjus1eg4K1zM2zUd,A,ok,True,False,True,HIGH,7170.987056036571,70.59645942692893,21348.69240819706,0.0,False
9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump,wcd,what the cz doing?,996041783,6YCQcp4SfJbwkz8rrENYy26FAtCR2jqkTxZKTymeC7tC,A,ok,True,True,False,MEDIUM,13710.94564965247,215.7835749385072,16749.25146931877,0.0,False
9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump,wcd,what the cz doing?,996041783,CQKJHYqVPn8P944dpQtNud5eVLQr4p8iFuKSVNgKYNxY,A,ok,True,True,False,MEDIUM,14965.870994313644,92.77771679883789,16945.95063500781,0.0,False
9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump,Goyim,Goyim,999889853,BqhEH7t6a8hU3xB3HkQMkWHRkLCJ3TzZqQG12HekTodJ,A,ok,False,False,True,HIGH,,,0.0,0.0,False
9jFP3WdkXMsfjQZx5af94Y5scQVVqKbsNNHmGisxpump,Bear,The Bear,999807754,23VimRd4goV1N72Qoa3H85oEDJsRmGHZxBBtPzL8Uy3p,B,ok,False,False,True,HIGH,492048.4629523624,,0.0,422317.3100286457,False
9xPgacWhzeRS2FjQeGjVwkY17P5j6fCz8ebbxhw6pump,CEREAL GUY,CEREAL GUY,999959954,AQ4fjYqFBwMpgwp83q1TKBuGxtfRZGyPDNiwiUH8Ruhu,A,ok,False,False,True,HIGH,,,0.0,0.0,False
9y4nMHKQCMgjHE1UU1pbhykRXG5Xp75Y6B4MxdZapump,MELON,MELON MUSK,963047558,6fm83LbV26HB4hkmzTzZJhsLv2b6f9tuLWkoMYoHerFy,A,ok,False,False,True,HIGH,,,0.0,0.0,False
9y4nMHKQCMgjHE1UU1pbhykRXG5Xp75Y6B4MxdZapump,MELON,MELON MUSK,963047558,nsZtEE77jV81bx7eF9Gt1hex1t2Aa7hhu5191Hin8cF,A,ok,False,False,True,HIGH,,,0.0,0.0,False
A2LprEwUDVLQX3xVQqFAMwbzf7ZQdx9wJMJvkQBPpump,NYAN,Nyan Cat,999952629,99j6HWTKqEigSbRpe1uJ1g3EVpRZJNnB7wbKsjhfPz8g,A,ok,True,True,False,MEDIUM,3765.160502073392,294.4267431255464,0.762810976446947,0.0,False
